Problem ID, Objective, Elapsed Time
init_ppms_1,-161124.8,7.81
init_ppms_10,-171893.4,9.00
init_ppms_2,-168149.2,8.02
init_ppms_3,-176448.9,24.72
init_ppms_4,-168933.2,4.75
init_ppms_5,-170080.6,55.75
init_ppms_6,-175626.4,7.97
init_ppms_7,-170794.6,14.16
init_ppms_8,-163829.7,2.73
init_ppms_9,-169943.5,56.75
updated_ppms_1,-248990.3,0.20
updated_ppms_10,-279390.4,0.19
updated_ppms_2,-271845.4,0.14
updated_ppms_3,-286714,0.17
updated_ppms_4,-268121.8,0.17
updated_ppms_5,-266231.6,0.19
updated_ppms_6,-284739.3,0.17
updated_ppms_7,-274308,0.17
updated_ppms_8,-262287.6,0.13
updated_ppms_9,-269816.2,0.17